Regional Council11,Service type4,Ethnic group9,Age of child7,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Tasman,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,2
Taranaki,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,2
Southland,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,3
Otago,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,2
Northland,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,1
Nelson,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,4
Marlborough,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Hawkes Bay,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Gisborne,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Canterbury,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,4
Bay of Plenty,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,5
Auckland,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,2
Area outside regions,Playcentre,Not Stated,Less than 1,,,,,,,,,,,,,,,0
West Coast,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Wellington,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Waikato,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Tasman,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Taranaki,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Southland,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Otago,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Northland,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Nelson,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Marlborough,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Hawkes Bay,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Gisborne,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Canterbury,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Bay of Plenty,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Auckland,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Area outside regions,Kōhanga Reo,Not Stated,Less than 1,,,,,,,,,,,,,,,0
West Coast,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Wellington,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Waikato,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Tasman,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Taranaki,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Southland,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Otago,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Northland,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Nelson,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Marlborough,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Hawkes Bay,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Gisborne,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Canterbury,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Bay of Plenty,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Auckland,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Area outside regions,Kindergarten,Not Stated,Less than 1,,,,,,,,,,,,,,,0
West Coast,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Wellington,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,1
Waikato,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Tasman,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Taranaki,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Southland,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Otago,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Northland,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Nelson,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Marlborough,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Hawkes Bay,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Gisborne,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Canterbury,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Bay of Plenty,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,8
Auckland,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,4
Area outside regions,Home-based,Not Stated,Less than 1,,,,,,,,,,,,,,,0
West Coast,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Wellington,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,2
Waikato,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Tasman,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Taranaki,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Southland,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Otago,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Northland,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,1
Nelson,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Marlborough,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Manawatu-Wanganui,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Hawkes Bay,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,1
Gisborne,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
Canterbury,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,1
Bay of Plenty,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,1
Auckland,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,3
Area outside regions,Education & Care,Not Stated,Less than 1,,,,,,,,,,,,,,,0
West Coast,Playcentre,Māori,Less than 1,3,0,1,1,2,0,2,1,2,2,4,5,3,2,3
Wellington,Playcentre,Māori,Less than 1,13,24,12,20,33,26,23,29,23,30,42,34,19,24,32
Waikato,Playcentre,Māori,Less than 1,34,31,32,31,38,30,30,30,40,47,42,54,51,68,57
Tasman,Playcentre,Māori,Less than 1,1,2,2,5,5,2,2,1,8,3,2,4,2,5,4
Taranaki,Playcentre,Māori,Less than 1,6,4,3,3,7,3,3,5,13,10,7,7,7,16,23
Southland,Playcentre,Māori,Less than 1,1,1,2,5,6,3,3,1,6,3,10,4,1,10,4
Otago,Playcentre,Māori,Less than 1,3,2,3,1,9,5,5,7,15,13,6,9,15,13,12
Northland,Playcentre,Māori,Less than 1,45,29,27,31,22,22,30,42,35,34,44,50,27,20,40
Nelson,Playcentre,Māori,Less than 1,3,3,0,0,0,0,0,2,5,4,2,1,3,1,4
